COG,Municipality,Year,Real.Estate.Taxes,Occupation.Taxes,Residence.Taxes,Regional.Asset.District.Sales.Tax,Per.Capita.Taxes,Real.Estate.Transfer.Taxes,Earned.Income.Taxes,Business.Gross.Receipts.Taxes,Occupation.Taxes.Act.511,Local.Services.Tax,Amusement.Admission.Taxes,Mechanical.Device.Taxes,Other.Taxes.1,Other.Taxes.2,Total.Taxes,A.O.Licenses.Permits,Cable.TV.Franchise.Fees,Fines.and.Forfeits,Interest.Earnings,Rents.and.Royalties,Federal.Grant.Highway.n.Streets,Federal.Grant.Community.Dev,A.O.Federal.Op.Grants,Federal.Revenue.National.Forest,A.O.Federal.Revenue,Federal.Payments.in.Lieu.of.Taxes,PA.Grant.Highways.and.Streets,PA.Grant.Community.Dev,PA.Recycling.Act.101.Revenue,A.O.State.Operating.Grants,PURTA.Revenue,MV.Fuel.Tax.n.State.Road,Alcoholic.Beverage.Licenses,Pension.System.State.Aid,Foreign.Fire.Insurance.Tax,Local.Gaming.Proceeds,Marcellus.Shale.Impact.Fee,A.O.State.Revenues,PA.Payments.in.Lieu.of.Taxes,Local.Grant.Highways.and.Streets,A.O.Local.Capital.and.Operating.Grants,Payments.for.Contracted.Services,Local.Payments.in.Lieu.of.Taxes,Charges.General.Government,Charges.Public.Safety,Charges.Parking,A.O.Charges.Highway.n.Street,Charges.Wastewater.Sewage,Charges.Solid.Waste,Host.Benefit.Fee.for.Waste.Facility,A.O.Charges.for.Sanitation,Charges.Health.Services,Charges.Human.Services,Charges.Culture.and.Recreation,Charges.Airports,Charges.Bars,Charges.Cemeteries,Charges.Electric.System,Charges.Gas.System,Charges.Housing.System,Charges.Markets,Charges.Transit.Systems,Charges.Water.Systems,A.O.Charges.for.Service,Special.Assessments,Escheats,Donations.Private.Sectors,Fiduciary.Fund.Pension.Contributions,A.O.Unclassified.Operating.Revenues,Proceeds.of.General.Fixed.Asset,Interfund.Operating.Transfers.Revenue,Proceeds.of.General.Long.Term.Debt,Proceeds.of.Short.Term.Debt,Refunds.of.Prior.Year.Expenditures,Total.Revenue,Legislative.Body.Expend,Manager.or.Mayor,Auditing.Services.Financial.Admin,Tax.Collection.Expend,Solicitor.Legal.Services.Expend,Secretary.Clerk,Other.Gen.Gov.Admin,IT.and.Data,Engineering.Services,General.Government.Buildings.n.Plant,Police,Fire,Ambulance.and.Rescue,UCC.and.Code.Enforcement,Planning.and.Zoning,Emergency.Management.n.Communications,Militia.and.Armories,Exam.of.Licensed.Occupations,Public.Scales.Weights.Measures,Other.Public.Safety,Total.Public.Safety,Health.and.Human.Services,Recycling.Collection.and.Disposal,Garbage.Collection.and.Disposal.Expend,Weed.Control,Wastewater.Sewage.Treatment.Expend,Admin.Highway.Streets.Expend,Cleaning.of.Streets.and.Gutters,Winter.Maintenance.and.Snow.Removal,Traffic.Control.Devices,Street.Lighting,Sidewalks.and.Crosswalks,Storm.Sewers.and.Drains,Repairs.of.Tools.and.Machinery,Maintenance.n.Repairs.Roads.Bridges,Highway.Construction.and.Rebuilding.Projects,Public.Works.Enterprises.Airports,Public.Works.Enterprises.Cemeteries,Public.Works.Enterprises.Electric.System,Public.Works.Enterprises.Gas.System,Public.Works.Enterprises.Markets,Public.Works.Enterprises.Parking,Public.Works.Enterprises.Flood.Control,Public.Works.Enterprises.Transit.System,Public.Works.Enterprises.Water.System,Public.Works.Enterprises.Water.Transport,Culture.Recreation.Admin.Expend,Participant.Recreation.Expend,Spectator.Recreation.Expend,Parks.Expend,Shade.Tree.Expend,Libraries.Expend,Civil.and.Military.Celebrations,Senior.Citizen.Centers,A.O.Culture.and.Recreation,Conservation.of.Natural.Resources,Community.Development.and.Housing,Economic.Development,Economic.Opportunity,A.O.Community.Development,Debt.Principal,Debt.Interest,Fiscal.Agent.Fees,Withholding.Taxes.n.Unemployment.Comp,Employer.Judgments.and.Losses,Pension.Retirement.Fund.Contributions,Worker.Compensation.Insurance,Other.Group.Insurance.Benefits,Insurance.Casualty.and.Surety,Fiduciary.Fund.Benefits.and.Refunds,A.O.Unclassified.Expenditures,Refund.of.Prior.Year.Revenues,Interfund.Operating.Transfers.Expend,A.O.Financing.Uses,Total.Expenditure,sum.code.enf,per.it.data,per.code.enf
CHAR WEST,KENNEDY TWP,2007,657529,0,0,0,0,111265,813448,405122,0,279854,0,21425,0,0,2288643,2310,61623,26360,115256,7599,0,0,0,0,0,0,0,0,25047,8000,3319,0,1450,109017,0,0,0,0,50832,54726,0,0,0,28467,96847,0,4324,0,0,0,0,0,0,8084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16198,2250,0,22643,5.00E+05,14233,5249133,14057,41925,20541,53550,12494,86989,75721,32323,0,92214,757831,139827,16200,31941,3075,4292,0,0,0,0,953166,6370,0,328,0,0,222264,0,0,2550,0,0,4736,13429,0,2434,0,0,0,0,0,0,0,0,0,0,11592,0,0,43160,0,13977,0,0,0,0,0,0,0,0,648633,163296,1750,43876,0,179545,79998,245738,39439,0,3664,14870,199308,0,5125932,35016,0.631,0.683
CHAR WEST,KENNEDY TWP,2008,890109,0,0,0,0,107663,857677,421117,0,179548,0,20125,0,0,2476239,6705,70635,32854,46279,8290,0,0,0,0,0,0,0,0,12430,30000,3054,0,1450,95590,0,0,0,0,52901,0,0,0,0,14389,58297,0,22159,0,0,0,0,0,0,9178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34024,750,250000,24674,5.00E+05,6138,5790954,14346,44901,18961,53222,20466,92993,79587,0,26569,54496,771385,142393,18200,35671,4825,55,0,0,0,0,972529,6705,0,0,0,1973,288785,54617,0,3319,0,0,5536,16693,0,422645,0,0,0,0,0,0,0,0,0,0,16314,0,0,33695,0,12967,0,0,0,0,0,0,0,0,661113,136964,1750,49055,0,179200,92863,352316,66679,0,3664,6185,2.00E+05,0,6542794,40496,0,0.619
CHAR WEST,KENNEDY TWP,2009,908655,0,0,0,0,98162,839656,411341,0,219189,0,20463,0,0,2497466,6863,74048,22075,9243,9145,0,0,0,0,0,0,0,0,22814,0,3482,0,1450,103185,0,0,0,0,46448,0,0,0,0,15821,78335,0,11830,0,0,0,0,0,0,11615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32510,0,0,2484482,0,3666,9876603,12462,26176,17667,54445,17429,90447,76853,0,35767,108306,734914,135609,18200,65363,4969,122,0,0,0,0,959177,6265,0,0,0,0,293479,47904,0,2015,0,0,2877,13022,0,4449,0,0,0,0,0,0,0,0,0,0,13371,0,0,46483,0,10549,0,0,0,0,0,0,0,0,2323284,135512,2250,48288,0,182983,86701,313840,54972,0,3664,9396,0,0,9083893,70332,0,0.774
CHAR WEST,KENNEDY TWP,2010,963287,0,0,0,0,103376,886696,394562,0,180924,0,21400,0,0,2550245,7623,88849,21589,4853,8645,0,0,0,0,0,0,0,0,23138,0,3575,0,1450,100280,52281,0,0,0,0,0,0,0,0,15630,86027,0,27678,0,0,0,0,0,0,12770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25046,0,0,67533,0,11118,5195541,13229,26226,15104,57273,12670,91431,125853,0,22088,49558,748235,132510,18200,59054,6737,0,0,0,0,0,964736,6830,0,0,0,0,275962,49224,0,1457,5122,0,1605,28279,0,460288,0,0,0,0,0,0,0,0,0,0,10609,0,0,35870,0,9688,0,0,0,0,0,0,0,0,228684,101686,0,49089,0,197209,70722,387967,35954,0,3929,0,0,67533,5966581,65791,0,1.103
CHAR WEST,KENNEDY TWP,2011,962546,0,0,0,0,121392,1060617,397760,0,237185,0,26700,0,0,2806200,8625,91573,24629,0,8935,0,0,0,0,0,0,0,0,15600,0,3563,0,1450,0,81251,0,0,0,0,0,0,0,0,18755,76003,0,13028,0,0,0,0,0,0,11115,0,0,0,0,0,0,0,0,0,21052,0,0,0,0,32000,0,0,0,0,1575,5397700,13565,25761,19106,57727,18885,93563,133518,0,19265,43876,773759,191760,18200,48413,4922,97,0,0,0,48367,1085518,5535,0,0,0,0,310692,115805,0,1153,32515,0,6002,21638,0,7897,0,0,0,0,0,0,0,0,0,0,11199,0,0,58779,0,9618,0,0,0,0,0,0,0,0,229298,110025,0,49667,0,268326,56772,382601,37118,0,3664,16702,0,0,5569018,53335,0,0.958
CHAR WEST,KENNEDY TWP,2012,952921,0,0,0,0,210623,1260682,385976,0,175690,0,27750,0,0,3013642,11350,99033,25647,0,9140,0,0,0,0,0,0,0,0,0,0,3825,0,1450,0,46317,0,185,0,0,0,0,0,0,19111,89365,0,12358,0,0,0,0,0,0,13860,0,0,0,0,0,0,0,0,0,258643,0,0,0,0,36000,0,0,0,0,44844,5712953,13274,30525,17026,63263,29205,97351,144437,0,71248,547033,805262,150161,18200,74656,2837,750,0,0,0,76522,1128388,3475,0,0,0,0,385206,61762,0,1282,0,0,10428,15858,0,494740,0,0,0,0,0,0,0,0,0,0,13281,0,0,76609,0,9588,0,0,0,0,0,0,0,0,276240,133585,0,58062,0,273305,71855,275101,36445,0,3664,9744,0,0,6271423,77493,0,1.236
CHAR WEST,KENNEDY TWP,2013,984299,0,0,0,0,184332,1026986,409545,0,204944,0,27900,0,0,2838006,19070,104549,31232,0,8910,0,0,0,0,0,0,0,0,0,0,3808,0,1450,0,53201,0,336,0,0,0,0,0,0,24882,133721,0,13794,0,0,0,0,0,0,8505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31015,0,0,103264,0,19193,5658422,13798,31352,19160,55010,34866,101269,143600,0,36870,106578,853088,140155,18200,74469,1636,0,0,0,0,67600,1155148,2035,0,0,0,0,405370,97104,0,690,0,0,13418,33131,0,3983,0,0,0,0,0,0,0,0,0,0,16927,0,0,85674,0,9663,0,0,0,0,0,0,0,0,404653,80838,0,60144,0,327850,71955,255756,38206,0,3664,49502,0,0,6460146,76105,0,1.178
CHAR WEST,KENNEDY TWP,2014,1166014,0,0,0,0,152769,1171247,403488,0,174790,0,27700,0,0,3096008,35721,112920,22627,0,8310,0,0,0,0,0,0,0,0,0,131936,3588,0,1450,112308,50254,0,470,0,0,0,0,0,0,27883,114193,0,11945,0,0,0,0,0,0,10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48201,0,0,2725500,0,26810,11672303,16989,33528,20612,86153,28931,108589,136505,0,47606,112535,743131,155472,26600,92386,1591,0,0,0,0,64425,1083605,3165,0,0,0,0,386855,127967,0,431,0,0,5348,33195,0,2847,0,0,0,0,0,0,0,0,0,0,11358,0,0,47517,0,9491,0,0,0,0,0,0,0,0,2625769,70785,0,62978,0,310127,80331,269775,34821,0,3664,18271,0,0,10175388,93977,0,0.924
CHAR WEST,KENNEDY TWP,2015,1202142,0,0,0,0,170101,1231006,378509,0,166032,0,22349,0,0,3170139,15080,123936,12990,6536,7985,0,0,6016,0,0,0,0,0,0,0,3597,0,1450,105863,51793,0,895,0,0,0,0,0,0,83848,104249,0,12049,0,0,0,0,0,0,8490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070,0,0,0,0,34607,6437311,13227,35405,19252,68752,23720,89922,120226,0,65410,44596,795217,155299,29884,73386,1093,0,0,0,0,104560,1159439,3690,0,0,0,0,349898,155408,0,2372,0,0,14330,21455,0,6766,0,0,0,0,0,0,0,0,0,0,13159,0,0,54963,0,9204,0,0,0,0,0,0,0,0,512388,88581,0,64510,0,377409,73666,260206,34157,0,50,26581,0,0,6820499,74479,0,1.092
CHAR WEST,KENNEDY TWP,2016,1315938,0,0,0,0,245165,1283396,354342,0,176586,0,17575,0,0,3393002,13745,127126,13299,10948,8150,0,0,0,0,0,0,0,0,0,0,3556,0,1450,109366,52017,0,940,0,0,0,0,0,0,75124,72489,0,18740,0,0,0,0,0,0,8415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,0,0,0,0,30962,6746504,14274,32084,19863,68771,20092,95138,119933,0,64365,77950,729829,158780,32600,63502,3848,0,0,0,0,104224,1092783,3025,0,0,0,0,463980,38860,0,2005,0,0,11452,19338,0,4267,0,0,0,0,0,0,0,0,0,0,10630,0,0,66809,0,9494,0,0,0,0,0,0,0,0,590733,102887,0,71118,0,347793,72675,231471,24173,0,3929,12737,0,0,6200321,67350,0,1.086
CHAR WEST,KENNEDY TWP,2017,1280494,0,0,0,0,127406,1354127,375895,0,167940,0,16950,0,0,3322812,6610,132776,16858,19388,7945,0,0,0,0,0,0,0,0,0,0,3482,0,1850,123883,47575,0,942,0,0,0,0,0,0,72484,65356,0,13825,0,0,0,0,0,0,1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3242,0,0,0,0,41352,7105145,13040,27569,21829,85611,20396,97492,105297,0,86648,41263,809043,147449,32600,49898,835,0,0,0,0,93995,1133820,3000,0,0,0,0,492468,0,0,698,0,0,12434,12632,0,2499,0,0,0,0,0,0,0,0,0,0,13458,0,0,55030,0,9279,0,0,0,0,0,0,0,0,597176,91118,0,75188,0,383462,77166,240432,37627,0,5401,19427,0,0,6625068,50733,0,0.766
CHAR WEST,KENNEDY TWP,2018,1451145,0,0,0,0,122030,1386072,355768,0,182116,0,17425,0,0,3514556,14775,133942,26539,72027,8235,0,0,0,0,0,0,0,0,0,0,3364,0,1650,140532,43741,0,1431,0,0,0,0,0,0,62164,67923,0,14965,0,0,0,0,0,0,6950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3065,0,0,0,0,29837,6906521,13388,30203,21724,84180,28379,102120,128326,0,53571,50549,948062,173035,25667,42655,4077,448,0,0,0,83070,1277014,3075,0,0,0,0,562509,0,0,1651,0,0,23227,25145,0,4087,0,0,0,0,0,0,0,0,0,0,8007,0,0,41136,0,9924,0,0,0,0,0,0,0,0,612716,81319,0,85708,0,380671,69711,324763,30685,0,8481,15281,0,0,7153608,46732,0,0.653
CHAR WEST,KENNEDY TWP,2019,1478905,0,0,0,0,174301,1434550,384619,0,154506,0,22475,0,0,3649356,6741,130563,23788,64261,7055,0,0,0,0,0,0,0,0,0,0,3181,0,1650,153615,47287,0,1584,0,0,0,0,0,0,175387,60044,0,10527,0,0,0,0,0,0,3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,0,7710313,13046,24124,24163,86580,28392,107365,112896,0,0,73390,997591,201623,0,42695,7256,0,0,0,0,81994,1331159,2750,0,0,0,0,540123,0,0,4440,0,0,16779,25085,0,0,0,0,0,0,0,0,0,0,0,0,8893,0,0,56070,0,9258,0,0,0,0,0,0,0,0,631449,74935,0,68907,0,365359,78253,292090,28090,0,7900,10582,0,0,7466306,49951,0,0.669
CHAR WEST,KENNEDY TWP,2020,1531743,0,0,0,0,273840,1436672,382832,0,178464,0,17374,0,0,3820925,8320,127111,20566,50598,7920,0,0,125000,0,0,0,0,0,8453,0,3515,0,1450,152639,47658,0,1367,0,0,0,0,0,0,72170,154802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15983,500,0,0,0,4857,8898112,13051,21031,18080,78196,15985,102902,79845,0,133833,108218,980270,199601,0,111813,1539,0,0,0,0,0,1293223,3550,0,0,0,0,292677,0,0,1492,0,0,17140,23886,0,2004,0,0,0,0,0,0,0,0,0,0,3300,0,0,38145,0,8927,0,0,0,0,0,0,0,0,574050,65668,1578,60695,0,357297,84281,324414,29517,0,31761,61792,0,0,6968011,113352,0,1.627
QUAKER VALLEY,KILBUCK TWP,2006,235588,0,0,14413,0,12612,80988,0,0,289,0,3200,0,0,347090,4946,8658,38007,3287,0,0,0,109439,0,0,0,0,0,0,0,556,0,800,21620,0,0,0,0,5717,0,0,17539,0,827,260904,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2277,106946,0,0,646,1185285,22087,0,31257,8706,24171,12152,0,0,9625,13304,495474,34487,0,0,0,0,0,0,0,0,529961,1270,0,0,0,0,0,0,7920,0,0,0,3570,0,139872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16978,11088,0,28751,0,64604,0,0,0,0,0,167,1252,0,1150577,0,0,0
QUAKER VALLEY,KILBUCK TWP,2007,191062,0,0,12961,0,8881,86358,0,0,171,0,1900,0,0,301333,8563,7797,29602,2526,0,543568,0,0,0,0,0,0,0,0,0,497,0,450,22445,0,0,0,0,7302,0,0,108283,0,0,14146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,9301,69624,1250000,1.00E+05,0,2705252,18651,0,29282,8944,43315,7523,0,0,28365,10269,418124,32671,0,0,0,0,0,0,0,0,450795,690,0,0,0,297,0,0,29655,0,0,0,0,649,699050,1075625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115563,8043,0,0,0,0,0,0,0,0,0,0,1350,0,2735530,0,0,0
QUAKER VALLEY,KILBUCK TWP,2008,308361,0,0,10294,0,6290,102133,0,0,337,0,0,0,0,427415,7309,9661,8314,513,0,0,0,0,0,0,0,0,0,0,0,505,0,450,22304,0,0,0,0,5695,0,0,20092,0,100,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4919,0,0,71059,0,0,10475,0,0,1.00E+05,0,798198,26515,1054,11448,8539,40833,1847,29100,0,37780,15433,86805,49684,0,9066,0,375,0,0,0,0,145930,0,0,0,0,2501,0,0,40088,0,1527,0,0,0,15127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,197904,61569,30,0,0,33708,0,0,7038,0,0,178,0,0,978993,9066,0,0.926
QUAKER VALLEY,KILBUCK TWP,2009,344370,0,0,10526,0,4989,94037,0,0,301,0,0,0,0,454223,4610,9794,8096,213,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,4920,0,0,27314,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2855,0,0,12185,0,0,10000,0,0,50000,1870,780074,11117,0,7798,10307,23105,738,29100,0,33408,15933,80113,14553,0,2821,0,0,0,0,0,0,97487,0,0,0,0,0,0,0,33804,0,692,0,0,0,6544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,151530,55131,820,0,0,28503,0,0,6554,0,0,598,9851,0,630469,2821,0,0.447
QUAKER VALLEY,KILBUCK TWP,2010,315234,0,0,11942,0,5782,97561,0,0,212,0,0,0,0,430731,7524,9478,6867,106,0,0,0,9442,0,0,0,0,0,0,0,558,0,450,0,5538,0,0,0,0,0,0,7092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,0,0,52432,0,0,0,46302,0,0,0,683291,14177,0,8084,9445,24674,442,29000,0,86052,11358,73852,40008,0,1665,0,0,0,0,0,0,115525,0,0,0,0,0,0,0,52971,235,965,0,0,0,17295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,105328,49879,2578,0,0,0,0,0,6643,0,0,0,9000,0,699800,1665,0,0.238
QUAKER VALLEY,KILBUCK TWP,2011,294424,0,0,13839,0,4558,96037,0,0,262,0,0,0,0,409120,6006,12013,9426,128,0,0,0,0,0,0,0,0,0,0,0,546,0,2450,0,8462,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,0,4351,0,0,0,3280,0,0,0,566494,13904,0,8002,4441,33451,682,29000,0,36329,12919,75432,38797,0,3480,0,0,0,0,0,0,117709,1200,0,0,0,0,0,0,18047,0,1696,0,0,0,23244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110691,42653,37,0,0,0,0,0,6809,0,0,0,14900,0,621812,3480,0,0.56
QUAKER VALLEY,KILBUCK TWP,2012,143579,0,0,14451,0,14327,112147,0,0,88,0,0,0,0,284592,7171,13064,12340,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,4797,0,31,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575,0,0,0,153386,0,0,9975,742251,9985,0,11418,2145,34153,836,29000,0,33609,13201,97577,39234,0,3460,0,2398,0,0,0,0,142669,548,0,0,0,0,0,0,26133,1345,1716,0,0,0,46450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114642,41270,0,0,0,0,0,0,8447,0,0,0,9000,0,790540,3460,0,0.438
QUAKER VALLEY,KILBUCK TWP,2013,175683,0,0,12603,0,14636,119418,0,0,23,0,0,0,0,322363,10027,14353,14232,31,1300,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,5699,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19955,0,0,119448,171633,0,0,35413,1072978,12572,0,9656,9238,27514,865,33400,0,72803,10068,135886,39284,0,2189,0,0,0,0,0,0,177359,1954,0,0,0,0,0,0,38775,962,1678,0,0,0,97680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114762,36460,0,0,0,22624,0,0,7669,0,0,2586,5000,0,982738,2189,0,0.223
QUAKER VALLEY,KILBUCK TWP,2014,169358,0,0,11687,0,12985,122239,0,0,976,0,0,0,0,317245,9952,15090,10342,9,3575,0,0,0,0,0,0,0,0,0,0,0,0,450,0,5374,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3184,0,0,0,207564,0,0,8100,905365,11255,0,10103,4991,16416,804,32400,0,11744,27594,88286,38959,0,1189,0,0,0,0,0,0,128434,3944,0,0,0,534,0,0,20942,28,1570,0,0,0,14505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105088,31838,0,0,0,21274,0,0,7667,0,0,10773,1289,0,782449,1189,0,0.152
QUAKER VALLEY,KILBUCK TWP,2015,165377,0,0,14338,0,22881,129436,0,0,2541,0,0,0,0,334573,24266,15467,9245,0,5242,0,0,0,0,0,0,0,0,0,0,0,0,450,0,5801,0,147,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,16557,0,0,0,160360,0,0,5603,936678,11812,0,8697,5732,29704,707,33695,0,25082,9844,91387,40018,0,18249,6000,0,0,0,0,0,155654,904,0,0,0,0,0,0,45490,387,1522,0,0,0,10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109973,26953,0,0,0,21274,0,0,8809,0,0,3908,50604,0,833257,24249,0,2.91
QUAKER VALLEY,KILBUCK TWP,2016,348929,0,0,13758,0,31995,132182,0,0,1398,0,0,0,0,528262,28500,15762,12989,196,7091,0,0,0,0,0,0,0,0,0,0,493,0,450,0,5766,0,151,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5488,0,0,0,0,0,0,300,832342,12988,0,8040,6271,24770,948,28847,0,38011,18824,94828,41137,0,20477,4000,0,0,0,0,0,160442,1467,0,0,0,0,0,0,27571,608,1139,0,0,0,53059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,114982,21944,0,0,0,40189,0,0,8843,0,0,4838,0,0,706481,24477,0,3.465
QUAKER VALLEY,KILBUCK TWP,2017,380879,0,0,13123,0,22271,141580,0,0,1266,0,0,0,0,559119,4021,9768,12081,828,4828,0,0,0,0,0,0,0,0,0,0,0,0,450,0,5424,0,148,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,45,0,0,0,820155,10756,0,9485,9200,25964,6245,48020,0,32329,12124,92690,34676,0,4959,0,0,0,0,0,0,132325,4780,0,0,0,0,0,0,36157,1040,222,0,0,0,50216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309,0,0,150,0,0,0,0,0,0,0,119866,17060,321,0,0,28715,0,0,9055,0,4738,5342,0,0,815237,4959,0,0.608
QUAKER VALLEY,KILBUCK TWP,2018,355687,0,0,13724,0,15547,132816,0,0,1092,0,0,0,0,518866,10004,20621,6359,1085,6000,0,0,0,0,0,0,19840,0,0,0,0,0,450,0,5064,0,226,0,0,0,0,0,0,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,120000,0,0,0,911314,11047,0,18249,7415,16479,57581,426,0,49408,34802,91116,32155,0,7196,0,0,0,0,0,0,130467,95,0,0,0,2844,0,0,22100,1443,0,0,0,0,172813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,125438,11488,938,0,0,29065,0,0,11336,0,7139,3202,0,0,981195,7196,0,0.733
QUAKER VALLEY,KILBUCK TWP,2019,351010,0,0,14414,0,31817,153200,0,0,1012,0,0,0,0,551453,7666,15643,8144,237,19500,0,0,0,0,0,0,28133,0,0,0,0,0,450,0,5349,0,251,0,0,0,0,0,0,616,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21119,0,0,0,35000,0,0,0,895588,10782,0,16294,8215,15407,52038,0,0,34422,23154,93280,45482,0,7929,0,0,0,0,0,0,146691,3624,0,0,0,1617,0,0,23846,888,967,0,0,0,296345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,131667,5836,839,0,0,28925,0,0,11842,0,3650,5845,0,0,1114007,7929,0,0.712
QUAKER VALLEY,KILBUCK TWP,2020,341024,0,0,13227,0,15111,142000,0,0,1047,0,0,0,0,512409,12600,14954,4836,501,15000,0,0,0,0,0,0,0,0,0,0,0,0,808,0,5367,0,217,0,0,0,20000,0,0,572,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,471,803766,12505,0,17964,5112,15325,54657,0,0,23618,36757,91650,47142,0,5537,0,0,0,0,0,0,144329,980,0,0,0,1305,0,0,18361,258,0,0,0,0,152840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,1044,0,0,28925,0,0,10355,0,0,985,0,0,627164,5537,0,0.883
QUAKER VALLEY,LEET TWP,2006,588689,0,0,35574,0,25583,209569,0,0,24182,0,300,0,0,883897,0,13401,8708,11853,300,0,0,0,0,0,0,5630,0,0,0,1319,0,200,40151,0,0,0,0,10993,0,0,0,0,3315,5946,0,0,0,42721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,500,259,0,0,649,1317662,9191,0,2200,20541,10100,0,76703,0,0,16029,390278,65368,10976,5430,0,0,0,0,0,0,472052,0,0,64090,0,387,196467,0,3058,0,0,0,1645,0,1481,0,0,0,0,0,0,0,0,0,0,0,1465,0,0,0,0,0,0,0,0,0,9280,0,0,0,14380,354,0,0,0,78139,0,0,9389,0,1784,1401,58708,0,1097485,5430,0,0.495
QUAKER VALLEY,LEET TWP,2007,573972,0,0,36361,0,23174,220626,0,0,22412,0,300,0,0,876845,0,13938,10052,11030,0,0,0,0,0,0,0,0,0,0,0,1307,0,200,44889,0,0,0,0,10504,0,0,0,0,2700,6945,0,0,0,89286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,92,1332393,9806,0,2600,18338,14775,72220,0,0,0,15928,400610,65194,10976,3096,0,937,0,0,0,0,480813,0,0,99829,0,440,179138,8333,10922,0,0,0,0,0,26155,0,0,0,0,0,0,0,0,0,0,0,6576,0,0,0,0,0,0,0,0,0,0,0,0,5000,12647,1220,0,0,0,82329,0,0,9273,0,1339,0,16685,0,1159028,3096,0,0.267
